,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,t50,t51,t52,t53,t54,t55,t56,t57,t58,t59,t60,t61,t62,t63,t64,t65,t66,t67,t68,t69,t70,t71,t72,t73,t74,t75,t76,t77,t78,t79,t80,t81,t82,t83,t84,t85,t86,t87,t88,t89,t90,t91,t92,t93,t94,t95,t96,t97,t98,t99,t100,t101,t102,t103,t104,t105,t106,t107,t108,t109,t110,t111,t112,t113,t114,t115,t116,t117,t118,t119,t120
MODEM__11_IN_d1,0.008193387,0.008503373,0.008659953,-0.018294247,-0.023850294,0.008320786,0.00835619,-0.0010868957,0.0069015273,0.009831767,0.007410081,0.006089081,0.0075722924,-0.0009881094,0.0063972557,-0.008996937,0.0064471182,0.0063127493,0.006431896,0.0067064073,-0.041322358,0.0082031675,0.0051535196,0.006199445,-0.012086989,0.0071549844,0.0067995675,0.0077714454,0.009347476,0.008168194,-0.00042500085,0.008343629,0.008506861,-0.020007487,0.009796289,0.010171246,-0.053362556,0.0043006614,-0.024569444,0.003915614,0.004535546,0.0095728785,0.009681284,0.012010861,0.006048913,0.0043853507,5.566058e-05,0.00472046,0.008446064,-0.007126019,0.007228115,0.006989855,0.007824026,0.0019335481,0.0063792155,0.0062300377,0.006081929,0.0072895144,0.0075711245,0.0076208045,0.009471701,0.0057381582,0.005876375,0.004580716,0.008769202,0.008533488,0.008573373,-0.022170888,0.0075195106,0.0067883115,-0.0144791985,0.007919214,0.00875611,0.007105759,-0.017078882,0.007544964,0.00709582,0.007526363,0.007022254,0.008323287,0.010924818,0.0074853837,0.00710267,0.009824909,0.007739922,0.010073583,0.010907891,0.00886834,0.010728441,0.009090469,0.0100695165,0.0084716035,0.008172015,0.0075701457,0.007355553,0.008914681,0.006715858,-0.012057163,0.00793517,0.010231572,-0.023134274,0.010595949,0.009581178,0.008694847,0.0067148344,0.0075190067,0.006800375,-0.022506805,0.00080214883,0.0006338747,-0.0013116368,-0.0017453141,-0.00088821974,0.0062916237,0.001932228,0.00632213,0.005620936,0.004672757,0.004558383,0.0055209077,0.0041024927
MODEM__11_OUT_d1,0.0056493687,0.005356142,0.004868013,0.0041328785,0.0045606294,0.003935247,0.0033500444,-0.010964437,0.004038075,0.004230056,0.004494811,-0.010923915,0.004666824,0.00389621,0.0040884973,0.004450717,0.005293838,0.0047816536,0.005948041,0.005476421,0.00463765,0.0054605277,0.0046190433,0.0052527576,-0.012293382,0.0053083953,-0.012499093,0.0047638603,0.0051911394,0.0054717897,0.00442811,0.0048212167,0.0043424997,0.00062119553,-0.014218586,0.004648658,-0.049622722,0.0019641488,0.0020843642,0.0020995475,0.002604018,0.004048644,0.003458647,0.0028886534,-0.009650242,0.0025816031,0.007463188,0.0071002166,0.008220102,0.009115404,-0.029476648,-0.030164871,0.0048564686,0.008166514,0.0048695034,-0.027508335,0.009196083,0.005700434,0.005722761,-0.020880204,0.005930904,0.00558941,-0.0131921545,-0.016005768,0.0061138817,-0.022355095,0.0067768986,0.005972568,-0.027429096,0.008745223,0.008637163,0.009010133,0.009013118,0.009143074,-0.0228085,0.00844598,0.007913965,0.009321483,0.007827596,0.008661939,0.008289476,0.004468188,-0.025760872,0.008266789,0.0065435413,0.0070973714,0.006820494,0.006774909,-0.018178428,0.0066955322,0.006711066,0.0073450417,0.0073827603,0.007984826,0.0077275666,0.008035226,0.008052398,0.008103683,0.008218873,0.009105533,0.009027733,0.0060420544,-0.029646428,0.0089409035,0.0051482725,-0.020772547,0.00800229,0.0047113993,0.00309546,0.0077675427,0.008588519,0.005431739,0.005487097,0.008530646,0.0066475566,0.0066142227,0.0061128666,0.0072935303,0.005812246,0.0074912007,0.005943576
MODEM__14_IN_d1,0.00020106931,4.7715654e-05,0.0001931619,0.00033285702,-7.608348e-05,0.0009096073,0.00010408378,0.0011718312,0.0002074264,-0.001476245,0.0010626467,-0.0011983704,-0.0013126988,0.000101334226,0.00021544185,3.9001545e-05,2.7992166e-05,0.00015145175,0.00014424542,8.0508966e-05,0.00020890632,0.0009874185,0.002285119,0.00013105509,1.37922325e-05,0.00021227145,-0.00010592399,-0.00013030384,0.0001500746,-0.00023042333,1.1356846e-05,-0.00047379,-0.00021495296,-0.0054853978,-0.0002775399,-0.0001882496,-4.0925443e-06,0.0008773086,0.0033814833,-0.00013625511,-0.007723795,-0.0019305922,0.000620557,-0.0002672939,-1.46288585e-05,6.71779e-06,0.0005017229,0.00032764394,0.00025830514,0.00022494592,-0.00044638666,0.00030646272,0.00039211675,4.730303e-05,0.00017052409,7.6493816e-05,0.00024271302,0.00046340507,0.000199686,5.5373854e-05,-0.00036931323,0.00017636237,8.266067e-05,9.532569e-05,-1.1784359e-05,-0.0001309909,4.6027344e-05,0.0001439151,0.00016385125,3.681994e-05,0.00017612765,-9.159205e-05,-4.391987e-05,0.00011342628,9.7489785e-05,0.000115837036,0.00035345388,7.607391e-05,0.00022734306,0.00014464583,0.00046372766,0.00030165113,-5.2885916e-05,0.00031367413,0.00026141337,0.00043560323,0.00021629254,0.00021132684,0.00034630275,0.00010572963,0.00017379946,0.00014058394,0.00033980404,0.0002691882,0.00013660995,0.00037310412,0.00029920987,0.00023649354,0.0003015347,0.00068587845,0.00016922192,0.00026320174,0.00047044732,0.00031660954,4.582486e-05,-2.5661466e-05,0.00023427597,-0.00034684443,-0.026167974,-0.0025123274,-0.0023473452,-0.002421724,-5.6795783e-05,0.0003692893,-4.256915e-05,0.0012940919,0.00020259329,-0.0007018567,-4.8584578e-05,-9.446891e-05,-0.00031835222
MODEM__14_OUT_d1,0.012105865,0.013017262,-0.0069411388,-0.007470888,0.013408097,0.013083684,-0.021828845,0.013800759,0.013276048,-0.039842542,-0.010789087,0.013320545,0.014638613,0.01467,0.012674439,0.013252848,0.01373792,0.013009954,0.013964407,0.013787156,0.014139807,0.011883161,0.0124157965,0.01135247,0.009043484,0.014537877,0.018126426,0.018611921,-0.04778353,0.01942784,-0.019253548,0.019356836,0.018910967,0.017575802,-0.01853798,-0.025691636,0.022249201,-0.10115129,0.023914626,0.022529498,0.022425966,0.027914947,0.028218944,0.035872124,-0.096333824,0.021412274,-0.06920526,0.02428786,-0.037306927,0.022361713,0.022097908,0.022638008,-0.047921963,0.02459126,0.028914383,0.02907602,0.028750814,0.025469864,0.025073476,0.026293624,0.029139139,0.025351765,0.02494944,0.025503537,0.024854809,0.021344576,0.022157969,0.0214723,0.021075929,0.02430853,0.026214685,0.029301858,-0.10017592,-0.028918518,0.030448033,-0.07155,-0.058733772,0.025037888,0.02439982,0.024975987,-0.07811744,-0.032597158,0.024635391,-0.058043517,0.024376817,-0.07419636,-0.09375531,0.029712817,-0.10296859,0.032295067,-0.09850476,-0.03690142,-0.10298796,0.028831627,0.02614713,-0.05936142,0.025172325,-0.043835413,0.017096639,-0.055790275,0.017153049,-0.051164877,0.017495474,-0.017977083,0.022354297,0.022742307,0.019414207,0.023413349,0.052159254,0.019686261,0.016684404,0.016665861,0.017287277,0.025904777,0.019707557,0.02857131,0.028621722,0.031483967,0.029883258,0.03005239,-0.030010741
MODEM__16_IN_d1,-0.00043580105,-0.000405396,0.000105412386,-7.842391e-05,-0.00037282938,-4.0707426e-05,0.00010130001,-0.00043655522,4.506192e-05,0.00016147431,-5.2408905e-05,9.099262e-05,-0.0004072421,-0.0001219643,7.1023445e-05,-0.00040356335,-8.7590975e-05,0.000101909405,-0.00031716004,7.180718e-05,0.000103647406,7.401746e-05,7.6147626e-05,-0.004271356,-0.0005002004,-7.02774e-05,5.7371064e-05,-4.528358e-05,2.3604476e-05,-0.00025473977,3.0047177e-05,1.688128e-05,3.234552e-05,6.0289123e-05,0.00024809307,0.00017077698,-0.00016120196,-6.397838e-05,2.454045e-05,3.730203e-05,-0.00011331815,4.251834e-05,-0.0002604353,0.00096943823,0.00060862425,-0.00015476541,0.000105186904,-1.28576385e-05,-0.00017703381,-0.00029178528,-0.0002784682,-0.00046611432,-0.00026512897,-0.0002918157,-0.0003162103,0.00022260968,-0.00060316233,-0.000292876,-0.00016102375,-5.604427e-05,-0.00029038952,-0.0003482253,-0.00032654672,-0.00036513043,-0.0003489104,-9.363567e-06,-4.906967e-05,-8.011355e-06,-0.00027002167,3.0148867e-05,0.002381581,-0.00014026332,1.4311732e-05,-0.0003803438,0.0001883608,7.0934235e-05,-5.8710306e-05,-0.00014886545,4.929636e-05,-0.00021384418,-0.00013921138,-6.607929e-05,-0.0005566558,-0.0005144683,2.2611532e-05,-0.00027443422,3.83639e-05,3.957721e-05,7.804676e-06,-1.6440863e-06,5.39537e-06,5.5105047e-06,3.0602925e-05,-8.720308e-06,-0.00032435736,3.2214146e-05,3.952296e-05,6.05869e-08,2.5926493e-06,-0.00016012193,1.2741297e-05,-1.1373748e-05,0.00019810861,-4.2496395e-06,-5.1281822e-06,-6.035654e-06,3.5907651e-06,-0.00017801707,-0.0016307831,-0.0001307911,-0.00046173384,6.6554785e-05,0.00027993554,-0.0014675431,0.002973707,0.00097124913,-0.0023643004,0.0010714638,-0.0024175635,0.002338584,-0.01716698
MODEM__16_OUT_d1,-0.0061659627,0.0015259066,0.0015660033,0.0013980026,0.0013514908,0.0016010173,0.00030826122,-0.00029770206,0.00271366,0.0014491461,0.0015240199,0.0019430286,0.00051806873,-0.00029530286,0.0019147706,-0.00027247713,0.0015621622,0.0012533901,-0.0066586323,0.001040924,0.0007577567,0.0011927899,0.0016320263,0.000117798496,-0.0066395593,0.001142866,0.001464313,0.0016363354,0.0014634111,0.0010130623,-0.00015307545,0.0013717774,0.0018763102,0.0016871473,0.0022707735,0.0025643469,0.0031169173,0.0031878254,0.0026855697,0.0024590464,-0.0114850635,-0.0118272565,0.0011365465,0.012891098,0.0046662576,0.00061501045,0.0019877008,0.0011279978,0.001219662,-0.0027992732,-0.0043385555,1.5210084e-05,-0.0040843207,0.002046014,0.000933109,6.174845e-05,-0.0032088517,-0.0027640944,0.0003387213,0.0033975898,-1.4347414e-05,0.0021270118,0.00078121835,0.014089887,0.0018132176,0.00095759553,0.0009525219,0.0007283304,0.002329452,-0.0012517538,0.0032914549,-7.16333e-05,4.9210576e-06,0.0005527105,-0.0012371027,0.00075601396,0.00069718505,0.00024767104,0.0014416211,0.00027724527,0.0015686713,0.0019287114,-0.006038388,-0.006390417,-0.0012327634,-0.006125139,9.055612e-05,6.5651024e-05,4.4276025e-05,-0.0005790528,0.00011459296,0.024644312,0.0005769482,-0.00053765357,-0.0003600289,-0.0019834659,-0.0019947416,-0.002154807,-0.0027283214,-0.0020112535,-0.0029604046,-0.0029724333,-0.0030171452,-0.0030660424,0.02170766,-0.0030765617,-0.0026642112,-0.0036107346,0.036231536,-0.0009803869,-0.0066026743,-0.00093536114,-0.0010016289,-0.00016412749,-0.0012492551,-0.0004606622,0.0023080867,0.0021599703,-0.0022902996,0.0015261801,0.0013449368
MODEM__11_IN_slope5,0.017305931,-0.0048001283,-0.0037116904,0.03641183,0.019049166,0.024939166,0.0232963,0.02462386,0.01306484,-0.082316175,0.0130301295,0.031281307,0.01888492,0.029745325,0.026966399,0.026575299,0.011738946,0.02395684,-0.03820017,0.013800583,0.016652323,-0.00077359116,0.020657498,0.033831265,0.03571876,-0.00062076224,0.025427578,0.015316987,0.013341368,-0.03322847,0.022623997,0.00209076,0.014734278,-0.28379428,-0.12661584,-0.068046324,0.038957432,0.030820286,0.03919302,0.024264505,0.03935034,-0.0545908,-0.019382311,-0.06442538,-0.020272052,0.060741566,0.06472829,0.06265739,-0.028243614,-0.018016431,-0.008869599,-0.019429948,-0.014403931,0.027676381,-0.006487685,-0.0055820122,0.0181675,0.017209249,0.021648258,-0.006135624,0.026026484,0.033824343,0.035876863,0.031259708,0.04300571,-0.033668302,-0.075307235,0.040501643,0.04060175,-0.017723,0.030278591,-0.021858785,-0.050907094,-0.025454074,0.03072561,-0.056484785,0.030932242,0.00697068,0.031556,-0.027712489,0.027231174,0.026014712,0.02780943,0.0062292977,0.016708713,0.020984346,-0.03129805,-0.016001862,-0.011314557,-0.013569143,-0.007428063,0.0053309524,-0.0015615496,0.0005645477,0.008078669,0.0072877076,0.009602589,0.007968951,0.010214671,-0.0049722358,0.010184553,-0.00768755,0.005719235,-0.005877503,-0.0013686353,-0.01257301,0.0076163546,0.023300426,0.02758071,0.023267891,0.02063462,0.024736492,0.017319128,0.023830269,0.025747122,0.024092,0.021905841,0.019796155,0.020183122,0.025888244,0.016108723
MODEM__11_OUT_slope5,0.009299009,0.0073659257,0.005654793,0.0068683852,-0.008113062,-0.00011167563,-0.017345518,0.0010049783,-0.0034313998,-0.021049777,-0.0031507893,0.027640179,-0.0036171195,-5.0010407e-05,0.0064542787,0.005129533,-0.0035112025,0.0018675736,0.0050348975,0.004190842,0.011391455,-0.008017489,0.00870248,0.002993982,0.012753788,0.0027473387,-0.0026043414,-0.014355454,0.001227513,-0.007963746,0.0064255833,-0.03128915,0.0026008377,0.0058093998,0.021284906,0.020641604,-0.61497223,-0.66127473,-0.79857606,-0.7742899,-0.77474606,0.026499493,0.00415405,-0.008345064,0.04142969,0.03280667,0.023644548,0.043020554,0.021472778,0.022606878,0.033641186,0.023080118,0.010306909,0.035371274,0.02827245,0.006764263,0.008259095,-0.031119421,-0.026038138,-0.028080499,0.017548444,0.0035692672,0.018014068,0.019921554,0.0136876805,-0.049194314,-0.05600972,-0.053330123,-0.057422377,-0.023698302,0.0138245085,0.004210375,-0.00034025713,0.0010525044,0.006328565,0.00851675,0.00071672566,0.006497656,0.019284151,0.014282213,0.018162,-0.039824534,0.016302826,0.012194854,0.014321281,0.012070747,0.027344862,0.008820418,0.009600727,0.008438589,0.0068720034,0.005250809,0.007685014,0.006336115,0.01030257,0.013284015,0.014391736,0.010097223,0.0045982744,0.0053323344,0.013981526,0.018781986,0.010142497,0.014119528,0.014252275,0.029512329,0.012012695,0.00027162643,-0.01707428,0.027531177,-0.0009616169,0.005212825,0.007924681,0.017842833,0.014521539,0.015668849,0.014124231,0.013252162,0.015759202,0.015480525,0.016787231
MODEM__14_IN_slope5,-0.022141805,-0.027160179,-0.0066731214,-0.0070264717,0.004336058,-0.008881389,-0.0021418384,-0.0076134847,-0.012180964,-0.0023594259,-0.0034958103,-0.007365175,-0.003985395,-0.0012589768,-0.008757668,-0.003597301,-0.005678914,-0.004435105,-0.010094364,-0.002530761,-0.0024255107,0.0074233026,-0.012248526,-0.0011817124,-0.0023807425,-0.010099034,-0.00475649,-0.0047934502,-0.0018897433,-0.007581787,-0.0008125451,-0.002441984,-0.006109421,-0.0041041477,-0.0012098738,0.0015625468,0.0630857,0.009093792,-0.10855709,-0.101291314,-0.090493076,0.018915292,-0.02831823,0.0029075928,-0.00499273,-0.005854833,0.00034727206,-0.006365643,-0.008496666,-0.03377828,-0.0477764,-0.05013606,0.000704341,-0.047244206,-0.044509914,-0.042979628,-0.041742202,-0.055499867,-0.014240775,-0.03266716,-0.020526597,-0.028356347,-0.030968681,-0.032347932,-0.03726398,-0.046835564,-0.021126915,-0.011198079,-0.014773267,-0.013847143,-0.010521997,-0.018411212,-0.010315491,-0.010926466,-0.010383282,-0.008209038,-0.005338418,-0.0047117677,-0.003777391,-0.0034238778,-0.004116526,-0.004286087,-0.0045231553,-0.005721861,-0.005711183,-0.0052128304,-0.008045362,-0.0067275926,-0.0043734633,-0.0046448195,-0.005304857,-0.004025517,-0.0032347823,-0.0054124,-0.0040606125,-0.004640148,-0.005220789,-0.010058439,-0.010993749,-0.009295918,-0.011105537,-0.008378645,-0.009123533,-0.008536558,-0.0039497744,-0.0029940195,-0.0029330673,-0.04435396,-0.016655898,-0.014476066,-0.021997927,-0.023497436,-0.047421455,0.6777288,-0.16014376,0.49184847,0.48930702,0.5467744,0.51013935,0.51600975,0.3025833
MODEM__14_OUT_slope5,-0.026538061,-0.02960874,-0.01644661,0.029041242,0.008597413,0.003744804,0.015850706,0.010383789,-0.071881175,0.014254448,0.14136408,0.0016377448,0.010057908,0.11431752,-0.062193997,-0.061667293,0.005709848,0.006605239,0.0059939777,0.06077612,0.0649153,0.059281707,0.05478641,0.06374446,0.06395976,0.05685151,0.050922226,0.011603608,0.05442979,0.011563549,0.027075365,0.02670923,0.04806173,0.010115089,0.010241715,0.016322862,0.0020137012,0.10853591,0.035310145,0.002481846,0.07858874,-0.0709048,0.027585767,-0.25863442,-0.44439334,-0.499454,-0.49130607,-0.47514808,0.2987441,-0.10765178,-0.16695006,-0.519721,-0.13458829,-0.39917612,-0.20067298,-0.2874743,-0.24111724,-0.7163362,-0.32029924,-0.6395205,-0.4535292,-0.8520509,-1.0114809,-1.1506302,-0.9972858,-1.0345681,-0.540173,-0.16869141,-0.38521013,-0.22941834,0.025808463,-0.34778017,0.089008994,0.27527723,0.26810616,0.44344687,0.39722416,0.3636934,0.35141623,0.33369395,0.2595102,0.25751525,0.25192547,0.22946872,0.22648217,0.2215334,0.22348164,0.22667833,0.17678899,0.18159232,0.15782656,0.20058425,0.15582858,0.26006487,0.30993873,0.34288332,0.3723924,0.22665006,0.17099679,0.36628464,0.20232527,0.41823605,0.2639199,0.4217992,0.27733567,0.32108837,0.22282998,-1.2787958,-1.4375978,-1.441115,-1.3868898,-1.3579662,-1.3578534,0.10681489,0.029047543,0.10185313,0.1408953,0.12033488,-0.038686004,0.046255406,-0.09271597
MODEM__16_IN_slope5,0.033115424,-0.012505549,-0.011724962,0.02820769,-0.034536604,0.024931174,0.03651485,0.03103873,0.030210067,-0.1747095,0.032412935,-0.012159861,-0.014213935,0.034917366,0.026227301,-0.014330358,-0.02009504,-0.01385236,0.029366517,0.033914525,-0.0017581497,-0.12228291,-0.12539925,0.02501128,0.03510369,0.017603029,0.017938368,0.01813435,0.030446654,-0.013059628,0.024348972,0.024260117,0.030440731,0.0329949,-0.16171207,-0.15885554,-0.15833724,0.0013104697,-0.13770778,0.001707374,-0.07278207,-0.087806,-0.08388086,-0.1215774,-0.008158908,0.025105743,0.019889986,-0.013480021,0.02053811,0.014935908,-0.04725411,0.020455386,-0.0109543055,0.011424147,0.019063614,0.007826949,0.012617335,0.007433236,0.022288082,0.018667327,-0.05146533,0.014663734,0.01614964,0.0129091535,-0.026306326,-0.018971218,0.0118811345,0.014829138,0.008127199,0.01058873,0.0140804,-0.013838891,-0.012293583,0.02034356,0.020415341,0.020388462,0.014393101,0.02489423,0.02626718,0.01729879,-0.009827145,0.025035426,0.025950901,0.021742057,0.016377885,0.01622879,0.018447245,0.0146371005,0.021417992,0.025037674,0.024064528,0.024563909,0.023274273,0.023463944,0.02055578,0.027402934,0.02980279,0.027076561,0.020888701,0.019139549,0.0200719,0.022000752,0.02924835,0.029699542,0.02859939,0.029527359,0.028727498,0.021670425,-0.016430896,-0.051683694,-0.12548234,-0.13521226,-0.16941708,0.05384731,0.045330662,0.055689804,0.008878314,0.048308298,0.051844835,0.08980283,0.0081527075
MODEM__16_OUT_slope5,0.06378462,0.03584547,0.019139308,0.062425394,0.0884779,0.031897966,0.01066332,0.010279427,0.010954238,-0.009124012,0.011578249,0.010173034,0.02591625,0.010904298,0.011583744,0.009656953,0.00957469,0.009566905,0.027014097,0.010538252,0.008655619,0.09100138,0.060646307,0.009684557,0.012405109,0.070073925,0.07200284,0.071512185,0.013147386,0.07276133,0.011177225,0.012886174,0.013217717,0.011268631,-0.0035795427,-0.00031011231,-0.007246792,0.013183414,0.0028722552,0.026382605,0.15063682,0.07692183,0.12425871,0.0017283368,0.01609057,-0.011628886,-0.10195386,-0.0054062763,0.03431911,0.07099505,0.06423746,0.07296595,0.09743006,0.05907319,0.055158496,0.03832088,0.06518473,0.050859515,0.026442457,0.028403848,0.015684195,-0.012936696,-0.021472272,-0.017088255,0.00705711,0.04028277,0.029303437,0.030244369,0.052534964,0.056632772,0.056984305,0.052953668,0.052940764,0.046568856,0.04965526,0.030939082,0.022136176,0.009236148,0.007149274,0.005289054,0.026813805,0.024394624,0.019962128,0.038433433,0.041617528,0.013296397,0.009773845,0.028836777,0.03537042,0.023438543,0.024646975,0.021652622,0.029161269,0.011957806,0.028435186,0.036718227,0.029458476,0.032264814,0.047133226,0.051205646,0.052636404,0.052023217,0.036446247,0.040236503,0.036622684,0.03222737,0.050892614,0.03980978,-1.0373353,-1.6289855,-1.7610276,-1.7713691,-1.7693652,0.18844722,0.121464744,0.14689332,0.14251013,0.1748529,0.15433052,0.03104333,0.062050868
in_maneuver,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
